iter	Logloss
0	0.6770984264
1	0.6613218579
2	0.646245565
3	0.6318268281
4	0.6175357944
5	0.6037433643
6	0.5904706118
7	0.5772058725
8	0.5646737216
9	0.5524762944
10	0.5405230884
11	0.5290242496
12	0.5181946219
13	0.5075930067
14	0.4972697016
15	0.4870972825
16	0.4771575231
17	0.4676524288
18	0.4586032927
19	0.4498646348
20	0.4411660363
21	0.4326981864
22	0.4247079741
23	0.4166052391
24	0.4090648969
25	0.401752025
26	0.3945798809
27	0.3877871765
28	0.3811088514
29	0.3746189884
30	0.3684321704
31	0.3623592658
32	0.3564899117
33	0.3508055094
34	0.345312722
35	0.3399634892
36	0.3347052692
37	0.3296868715
38	0.3247776676
39	0.3200998978
40	0.3155466115
41	0.311059556
42	0.3067267118
43	0.3024767532
44	0.2983939358
45	0.2943570454
46	0.2905420248
47	0.2868351547
48	0.2832557801
49	0.2797319566
50	0.2763702953
51	0.2730930716
52	0.2699735282
53	0.2668222992
54	0.2639264179
55	0.2607637811
56	0.2578947001
57	0.2550770196
58	0.252437127
59	0.2498757437
60	0.2473586991
61	0.2449467412
62	0.2426019945
63	0.2402000881
64	0.2380219143
65	0.2356666358
66	0.2334167913
67	0.2313510068
68	0.2294164685
69	0.2273702767
70	0.2253749167
71	0.2235471634
72	0.2216819392
73	0.220002929
74	0.2182515619
75	0.2166690822
76	0.2151632445
77	0.2136398152
78	0.21219622
79	0.2106776401
80	0.209156955
81	0.2078049151
82	0.2063880305
83	0.2051009594
84	0.2036985811
85	0.2023621352
86	0.2011556123
87	0.1999495963
88	0.1988038791
89	0.1975713268
90	0.1964126966
91	0.1953007918
92	0.1940463673
93	0.1929826646
94	0.1920184094
95	0.1910098701
96	0.1900594011
97	0.1891289541
98	0.188148122
99	0.1873024258
100	0.1862891419
101	0.1853700426
102	0.1845073699
103	0.1836866785
104	0.1828320485
105	0.1818258358
106	0.1810744588
107	0.1802346813
108	0.1794650281
109	0.1788140847
110	0.1781132078
111	0.1774733035
112	0.1766534429
113	0.1760067494
114	0.1754034666
115	0.1747534458
116	0.1741679418
117	0.1735515538
118	0.172956844
119	0.1723826101
