iter	Passed	Remaining
0	16	1972
1	29	1726
2	45	1755
3	53	1559
4	71	1649
5	87	1666
6	101	1633
7	120	1691
8	137	1694
9	152	1682
10	168	1668
11	181	1635
12	195	1612
13	212	1607
14	227	1591
15	245	1596
16	260	1576
17	269	1528
18	282	1500
19	295	1475
20	309	1456
21	319	1424
22	332	1403
23	344	1376
24	355	1351
25	368	1330
26	379	1307
27	394	1295
28	409	1284
29	426	1279
30	441	1267
31	453	1248
32	465	1227
33	478	1211
34	490	1192
35	501	1169
36	514	1153
37	531	1147
38	544	1130
39	556	1113
40	572	1103
41	583	1083
42	601	1077
43	617	1065
44	633	1056
45	648	1043
46	665	1033
47	680	1021
48	696	1009
49	709	993
50	730	988
51	749	980
52	767	969
53	781	954
54	796	941
55	812	928
56	831	918
57	844	903
58	865	894
59	884	884
60	900	870
61	914	855
62	930	841
63	940	823
64	951	805
65	963	788
66	974	770
67	986	754
68	999	738
69	1014	724
70	1030	710
71	1044	696
72	1059	682
73	1071	666
74	1085	651
75	1097	635
76	1111	620
77	1123	604
78	1133	588
79	1149	574
80	1162	559
81	1175	544
82	1190	530
83	1204	516
84	1215	500
85	1226	484
86	1239	470
87	1250	454
88	1265	440
89	1278	426
90	1291	411
91	1303	396
92	1317	382
93	1329	367
94	1344	353
95	1356	339
96	1370	325
97	1384	310
98	1395	295
99	1409	281
100	1420	267
101	1430	252
102	1440	237
103	1449	222
104	1459	208
105	1470	194
106	1480	179
107	1490	165
108	1500	151
109	1511	137
110	1521	123
111	1532	109
112	1544	95
113	1557	81
114	1569	68
115	1585	54
116	1596	40
117	1610	27
118	1621	13
119	1634	0
